code,name,lat,lon
YMER,Merimbula,-36.90861111,149.90138889
YMMU,Middlemount,-22.8025,148.70472222
YMIA,Mildura,-34.22916667,142.08555556
YMLS,Miles,-26.80611111,150.16972222
YMGB,Milingimbi,-12.09444444,134.89361111
YOOM,Moomba,-28.09944444,140.19694444
YMMB,Moorabbin,-37.97583333,145.10222222
YMRB,Moranbah,-22.05777778,148.0775
YMRW,Morawa,-29.20138889,116.02194444
YMOR,Moree,-29.49888889,149.84472222
YMTI,Mornington Island,-16.6625,139.17805556
YMRY,Moruya,-35.89777778,150.14444444
YMTG,Mount Gambier,-37.74555556,140.78527778
YGON,Mount Gordon,-19.775,139.40666667
YHOT,Mount Hotham,-37.0475,147.33416667
YBMA,Mount Isa,-20.66388889,139.48861111
YMNE,Mount Keith,-27.28638889,120.55472222
YMOG,Mount Magnet,-28.11611111,117.84166667
YMDG,Mudgee,-32.5625,149.61111111
YMUL,Murray Field,-32.51027778,115.83333333
YMMI,Murrin Murrin,-28.70527778,121.89055556
YNKR,Nackeroo,-15.57666667,130.475
YNRC,Naracoorte,-36.98527778,140.725
YNBR,Narrabri,-30.31916667,149.82722222
YNAR,Narrandera,-34.70222222,146.51222222
YNRM,Narromine,-32.21444444,148.22472222
YNWN,Newman,-23.41777778,119.80277778
YNGU,Ngukurr,-14.72277778,134.7475
YNHL,Nhill,-36.30972222,141.64083333
YCNF,Nifty,-21.67361111,121.59472222
YSNF,Norfolk Island,-29.0425,167.93805556
YNTN,Normanton,-17.685,141.07027778
YNSM,Norseman,-32.20944444,121.75444444
YNPE,Northern Peninsula,-10.95083333,142.45944444
YSNW,Nowra,-34.94888889,150.53694444
YNUM,Numbulwar,-14.27166667,135.71666667
YNYN,Nyngan,-31.55111111,147.20277778
YBOK,Oakey,-27.41138889,151.73527778
YOEN,Oenpelli,-12.32527778,133.00555556
YOLD,Olympic Dam,-30.485,136.87666667
YOLW,Onslow,-21.66833333,115.11305556
YOOD,Oodnadatta,-27.56,135.445
YORG,Orange,-33.37805556,149.12555556
YORB,Orbost,-37.79027778,148.60972222
YOSB,Osborne Mine,-22.08166667,140.55666667
YPAM,Palm Island,-18.75527778,146.58138889
YPBO,Paraburdoo,-23.17111111,117.74527778
YPPF,Parafield,-34.79333333,138.63305556
YPKS,Parkes,-33.13138889,148.23916667
YPEA,Pearce,-31.66777778,116.015
YPPH,Perth,-31.94027778,115.96694444
YPLU,Plutonic,-25.31333333,119.42333333
YMPC,Point Cook,-37.93222222,144.75333333
YPCE,Pooncarie,-33.37333333,142.58333333
YPMP,Pormpuraaw,-14.8975,141.61083333
YPAG,Port Augusta,-32.50694444,137.71666667
YPPD,Port Hedland,-20.37777778,118.62638889
YPKT,Port Keats,-14.25,129.52916667
YPLC,Port Lincoln,-34.60527778,135.88027778
YPMQ,Port Macquarie,-31.43583333,152.86333333
YPIR,Port Pirie,-33.23888889,137.995
YPOD,Portland,-38.31805556,141.47111111
YPMH,Prominent Hill,-29.71777778,135.52444444
YBPN,Proserpine / Whitsunday Coast,-20.495,148.55222222
YPKL,Puckapunyal,-36.99944444,145.06277778
YQLP,Quilpie,-26.60861111,144.25722222
YQDI,Quirindi,-31.49861111,150.51805556
YRNG,Ramingining,-12.35638889,134.8975
YNRV,Ravensthorpe,-33.79722222,120.20805556
YREN,Renmark,-34.19638889,140.67388889
YSRI,Richmond (nsw),-33.60055556,150.78083333
YRMD,Richmond (qld),-20.70194444,143.11472222
YROI,Robinvale,-34.65055556,142.78277778
YBRK,Rockhampton,-23.38194444,150.47527778
YROM,Roma,-26.545,148.77472222
YRTI,Rottnest Island,-32.00666667,115.53972222
YSII,Saibai Island,-9.37833333,142.625
YBSG,Scherger (raaf),-12.62388889,142.08722222
YSCO,Scone,-32.03722222,150.83222222
YSLK,Sea Lake,-35.53166667,142.89055556
YSHK,Shark Bay,-25.89388889,113.57722222
YSHT,Shepparton,-36.42888889,145.3925
YSMI,Smithton,-40.835,145.08361111
YSNB,Snake Bay,-11.42277778,130.65361111
YSOL,Solomon,-22.255,117.85166667
YGBI,South Goulburn Island,-11.65055556,133.38194444
YSCR,Southern Cross,-31.24027778,119.35972222
YSPT,Southport,-27.92166667,153.37138889
YSTA,St Arnaud,-36.63666667,143.18583333
YSGE,St George,-28.04972222,148.59527778
YSTH,St Helens,-41.33666667,148.28194444
YSPE,Stanthorpe,-28.62027778,151.99055556
YSWL,Stawell,-37.07166667,142.74027778
YSRN,Strahan,-42.15555556,145.29138889
YKBY,Streaky Bay,-32.83583333,134.29277778
YSRD,Sunrise Dam,-29.09833333,122.45527778
YBSU,Sunshine Coast,-26.60333333,153.09111111
YSWH,Swan Hill,-35.37583333,143.53277778
YSSY,Sydney,-33.94611111,151.17722222
YSTW,Tamworth,-31.08388889,150.84666667
YTRE,Taree,-31.88861111,152.51388889
YTAM,Taroom,-25.80194444,149.89944444
YTEF,Telfer,-21.715,122.22833333
YTEM,Temora,-34.42138889,147.51166667
YTNK,Tennant Creek,-19.63444444,134.18333333
YTNG,Thangool,-24.49388889,150.57611111
YTGM,Thargomindah,-27.98638889,143.81083333
YTGT,The Granites,-20.54833333,130.35
YTMO,The Monument,-21.81111111,139.92361111
YTIB,Tibooburra,-29.45111111,142.05777778
YPTN,Tindal,-14.52111111,132.37777778
YTOC,Tocumwal,-35.81083333,145.60416667
YTWB,Toowoomba,-27.54138889,151.9125
YBTL,Townsville,-19.2525,146.76527778
